episode,reward,avg_reward,max_q,reward_var
0,0.8649304,13.769816,0.15388967,
1,0.9018055,29.733324,0.26926547,
2,0.86288923,30.285357,0.3287363,
3,0.0,35.970867,0.6272975,
4,0.90322375,32.266533,1.0341756,
5,0.83082664,30.191317,0.9106084,
6,0.9474306,29.384945,0.8775925,
7,0.66250086,29.164986,1.9837279,
8,0.86126035,27.875008,1.3163832,
9,0.9343034,28.05801,0.7461832,
10,0.9423743,27.724037,1.5233921,
11,0.8419857,26.518913,1.698656,
12,0.8465233,25.60004,1.164386,
13,0.8080923,24.677057,1.4729997,
14,0.8006111,25.680939,1.5692698,
15,0.6997345,25.712593,0.88737154,
16,0.87237424,25.096088,1.1041505,
17,0.8592285,24.666298,1.2227172,
18,0.804672,24.14522,1.464806,
19,0.8671579,23.501904,1.172958,
20,0.88330144,23.606962,1.1434056,
21,0.74426043,23.500317,1.5297507,
22,0.8449323,23.095547,1.3847406,
23,0.8997017,23.462906,1.1927142,
24,0.8294148,23.314646,1.0535761,
25,0.94670314,23.710676,1.1941961,
26,0.85220844,23.246782,1.3077098,
27,0.9119962,22.899029,1.2841885,
28,0.8337774,22.7985,1.4151496,
29,0.8639222,22.644918,1.1378336,
30,0.8157886,22.487879,1.2687459,
31,0.81819403,22.24484,1.1197162,
32,0.930982,21.980337,1.2390956,
33,0.81328124,21.911179,1.0741607,
34,0.86497766,22.020737,1.1428139,
35,0.79897165,21.783062,1.3356956,
36,0.8646185,21.503193,1.1737976,
37,0.94296306,21.373434,1.1918081,
38,0.8719477,21.184208,1.1589258,
39,0.98003924,21.095516,1.0487217,
40,0.9224791,20.932322,1.1016673,
41,0.95168334,20.896183,1.0687437,
42,0.8151685,20.826784,1.2528124,
43,0.9070163,20.63603,0.9997647,
44,0.84720963,20.5066,1.0233579,
45,0.7969729,20.277775,1.2202301,
46,0.784541,20.611383,1.3278608,
47,0.8406785,20.396196,1.2724345,
48,0.96160287,20.411278,1.2717447,
49,0.9310297,20.233974,1.1448277,0.019005231438195106
50,0.80769515,20.131285,1.1320028,0.019021025179074873
51,0.70434034,20.263783,1.1111332,0.01932289287887246
52,0.9988639,20.271322,1.1308312,0.01982774775716374
53,0.856125,20.068855,1.2132082,0.005089468592357617
54,0.90370053,20.00081,1.1510632,0.005090345548877865
55,0.9226887,19.850552,1.2926221,0.005155720461696866
56,0.8269328,20.195816,1.2892756,0.005017289868265726
57,0.8458161,20.057394,1.0583601,0.004227872782068342
58,0.87313503,19.878931,1.1973153,0.004230578304118862
59,0.9198103,19.74096,1.1732486,0.004191850721468055
